,bar_county,bar_year,Households_With_A_Personal_Computer_Yes,Households_With_A_Personal_Computer_No,Households_With_A_Personal_Computer_Not_Stated,Households_With_A_Personal_Computer_Total,Perc_Of_Households_With_A_Personal_Computer_Yes,Perc_Of_Households_With_A_Personal_Computer_No,Perc_Of_Households_With_A_Personal_Computer_Not_Stated,Households_With_Internet_Access_Broadband,Households_With_Internet_Access_Other_Connection,Households_With_Internet_Access_No_Access_To_Internet,Households_With_Internet_Access_Not_Stated,Households_With_Internet_Access_Total,Perc_Of_Households_With_Internet_Access_Broadband,Perc_Of_Households_With_Internet_Access_Other_Connection,Perc_Of_Households_With_Internet_Access,Perc_Of_Households_With_Internet_Access_No_Access_To_Internet,Perc_Of_Households_With_Internet_Access_Not_Stated
0,Dublin,2011.0,361365.0,92841.0,12255.0,466461.0,77.46949905779904,19.90327165615132,2.6272292860496376,339593.0,24082.0,90427.0,12359.0,466461.0,72.80201345878862,5.162703848767636,77.96471730755627,19.385757866145294,2.6495248262984474
1,Cork,2011.0,134857.0,48762.0,3936.0,187555.0,71.90264189171177,25.998773693050037,2.098584415238197,119610.0,14182.0,49524.0,4239.0,187555.0,63.773293167337584,7.561515288848604,71.33480845618618,26.40505451734158,2.260137026472235
2,Waterford,2011.0,30170.0,11229.0,840.0,42239.0,71.42688037122092,26.584436184568766,1.988683444210327,26518.0,3211.0,11512.0,998.0,42239.0,62.78084234948744,7.601979213523046,70.3828215630105,27.254433106844385,2.3627453301451267
3,Galway,2011.0,63429.0,23181.0,1731.0,88341.0,71.80018338031039,26.240364043875434,1.9594525758141745,55075.0,8011.0,23423.0,1832.0,88341.0,62.34364564584961,9.068269546416726,71.41191519226633,26.514302532233053,2.073782275500617
4,Limerick,2011.0,47869.0,20048.0,1504.0,69421.0,68.9546390861555,28.878869506345346,2.166491407499172,41222.0,6094.0,20490.0,1615.0,69421.0,59.37972659569871,8.778323562034544,68.15805015773326,29.51556445455986,2.32638538770689
5,Carlow,2011.0,13623.0,5266.0,476.0,19365.0,70.34856700232378,27.193390136844826,2.458042860831397,11158.0,2106.0,5612.0,489.0,19365.0,57.61941647301833,10.875290472501936,68.49470694552026,28.98011877097857,2.525174283501162
6,Kildare,2011.0,56099.0,13117.0,1288.0,70504.0,79.56853511857483,18.604618177692046,1.8268467037331215,50093.0,5562.0,13480.0,1369.0,70504.0,71.04986951094973,7.888914104164304,78.93878361511403,19.119482582548507,1.9417338023374562
7,Kilkenny,2011.0,24210.0,8806.0,567.0,33583.0,72.09004555876484,26.221600214394186,1.6883542268409613,19816.0,3722.0,9342.0,703.0,33583.0,59.00604472500967,11.08298841675848,70.08903314176816,27.817645832712977,2.093321025518864
8,Laois,2011.0,19825.0,7448.0,643.0,27916.0,71.01662129244878,26.68004012036108,2.303338587190142,16003.0,3403.0,7863.0,647.0,27916.0,57.3255480727898,12.190141854133831,69.51568992692363,28.166642785499356,2.3176672875770166
9,Longford,2011.0,9395.0,4700.0,315.0,14410.0,65.19777931991672,32.61623872310896,2.1859819569743233,7393.0,1554.0,5090.0,373.0,14410.0,51.30464954892435,10.784177654406662,62.08882720333102,35.32269257460097,2.5884802220680085
10,Louth,2011.0,31523.0,11373.0,1001.0,43897.0,71.81128550926032,25.908376426635076,2.2803380641046087,27689.0,3263.0,11915.0,1030.0,43897.0,63.077203453538964,7.433309793379958,70.51051324691893,27.143084948857556,2.346401804223523
11,Meath,2011.0,48280.0,12510.0,1132.0,61922.0,77.96905784696877,20.20283582571622,1.8281063273150093,41626.0,5805.0,13263.0,1228.0,61922.0,67.22328090177966,9.374697199702851,76.59797810148251,21.41888181906269,1.9831400794547978
12,Offaly,2011.0,18041.0,8012.0,490.0,26543.0,67.96895603360585,30.184982858003995,1.8460611083901592,14171.0,3175.0,8598.0,599.0,26543.0,53.388840748973365,11.961722488038278,65.35056323701164,32.39272124477263,2.2567155182157252
13,Westmeath,2011.0,21525.0,8464.0,635.0,30624.0,70.28800940438872,27.638453500522463,2.073537095088819,17535.0,3470.0,8895.0,724.0,30624.0,57.25901253918495,11.33098223615465,68.5899947753396,29.045846394984327,2.364158829676071
14,Wexford,2011.0,36727.0,14767.0,851.0,52345.0,70.16333938294011,28.210908396217405,1.6257522208424875,29576.0,5839.0,15961.0,969.0,52345.0,56.50205368230012,11.154838093418665,67.65689177571879,30.49192855095998,1.8511796733212342
15,Wicklow,2011.0,36942.0,9758.0,879.0,47579.0,77.64349818197104,20.509048109460057,1.8474537085689067,32705.0,3619.0,10272.0,983.0,47579.0,68.73830891779987,7.606296895689274,76.34460581348914,21.58935664894176,2.0660375375690956
16,Clare,2011.0,30024.0,11605.0,905.0,42534.0,70.58823529411765,27.284055108854094,2.1277095970282596,25041.0,4149.0,12313.0,1031.0,42534.0,58.87290167865707,9.754549301735082,68.62745098039215,28.94860582122537,2.4239431983824704
17,Kerry,2011.0,35464.0,16601.0,1023.0,53088.0,66.80229053646775,31.27072031344183,1.926989150090416,28984.0,5457.0,17401.0,1246.0,53088.0,54.59614225437011,10.279159132007234,64.87530138637734,32.777652200120556,2.3470464135021096
18,Tipperary,2011.0,38788.0,18343.0,1144.0,58275.0,66.56027456027456,31.476619476619476,1.963105963105963,30692.0,6731.0,19463.0,1389.0,58275.0,52.66752466752467,11.55040755040755,64.21793221793222,33.3985413985414,2.383526383526384
19,Leitrim,2011.0,7903.0,4086.0,239.0,12228.0,64.6303565587177,33.41511285574092,1.9545305855413804,6298.0,1231.0,4392.0,307.0,12228.0,51.504743212299644,10.067059208374223,61.57180242067386,35.91756624141315,2.5106313379129865
20,Mayo,2011.0,31641.0,15477.0,814.0,47932.0,66.01226737878662,32.28949344905283,1.6982391721605608,26349.0,4504.0,16055.0,1024.0,47932.0,54.97162647083368,9.396645247433865,64.36827171826755,33.495368438621384,2.136359843111074
21,Roscommon,2011.0,15696.0,7468.0,437.0,23601.0,66.50565653997712,31.64272700309309,1.8516164569297913,12599.0,2494.0,8016.0,492.0,23601.0,53.38333121477904,10.5673488411508,63.95068005592983,33.964662514300244,2.084657429769925
22,Sligo,2011.0,16525.0,7279.0,624.0,24428.0,67.64778123464876,29.797773047322746,2.554445718028492,14298.0,1978.0,7461.0,691.0,24428.0,58.53119371213362,8.097265433109547,66.62845914524317,30.542819715081055,2.828721139675782
23,Cavan,2011.0,17270.0,7905.0,545.0,25720.0,67.1461897356143,30.734836702954897,2.1189735614307934,14250.0,2445.0,8426.0,599.0,25720.0,55.40435458786936,9.506220839813375,64.91057542768274,32.76049766718507,2.328926905132193
24,Donegal,2011.0,37955.0,18805.0,961.0,57721.0,65.75596403388715,32.57913064569221,1.664905320420644,32293.0,4670.0,19662.0,1096.0,57721.0,55.9467091699728,8.090642920254327,64.03735209022713,34.06385890750334,1.8987890022695382
25,Monaghan,2011.0,14152.0,6746.0,278.0,21176.0,66.8303740083113,31.85681904042312,1.3128069512655838,11355.0,2216.0,7240.0,365.0,21176.0,53.622024933887424,10.464676992822062,64.08670192670948,34.189648658859085,1.7236494144314318
